,Handle,Date,Text,Compound_Score,Positive_score,Negative_score,Neutral_score
55,@BBC,Mon Apr 02 23:17:55 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
56,@BBC,Mon Apr 02 23:17:55 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
57,@BBC,Mon Apr 02 23:17:53 +0000 2018,@DonnaWe51549635 @Eagle50425849 @cjsienna55 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth… https://t.co/p0fj2eaPuo,0.0,0.0,0.0,1.0
58,@BBC,Mon Apr 02 23:17:49 +0000 2018,"RT @carolecadwalla: Oh, right. My mistake. That was the second New Yorker story about Cambridge Analytica, AggregateIQ &amp; its links to the B…",-0.34,0.0,0.098,0.902
59,@BBC,Mon Apr 02 23:17:42 +0000 2018,"RT @carolecadwalla: Oh, right. My mistake. That was the second New Yorker story about Cambridge Analytica, AggregateIQ &amp; its links to the B…",-0.34,0.0,0.098,0.902
60,@BBC,Mon Apr 02 23:17:37 +0000 2018,RT @Icon99558924: @JSinghF @lunermoth @Eagle50425849 @Dausdava @hairlossclinic1 @curtainpullback @AWAKEALERT @AlgerianPalest @MGasmiaRamzi…,0.0,0.0,0.0,1.0
61,@BBC,Mon Apr 02 23:17:26 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
62,@BBC,Mon Apr 02 23:17:17 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
63,@BBC,Mon Apr 02 23:17:16 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
64,@BBC,Mon Apr 02 23:17:15 +0000 2018,@RocketRacer69 @robertrea @Byline_Media @carolecadwalla @BBC It was on BBC parliament channel. Ch 131 Freeview.,0.0,0.0,0.0,1.0
65,@BBC,Mon Apr 02 23:16:56 +0000 2018,"RT @carolecadwalla: Oh, right. My mistake. That was the second New Yorker story about Cambridge Analytica, AggregateIQ &amp; its links to the B…",-0.34,0.0,0.098,0.902
66,@BBC,Mon Apr 02 23:16:55 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
67,@BBC,Mon Apr 02 23:16:47 +0000 2018,RT @DaBigBadWolfie: @Icon99558924 @PedophiliaAlert @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth @Eagle50425849 @Dausdava @hair…,0.0,0.0,0.0,1.0
68,@BBC,Mon Apr 02 23:16:44 +0000 2018,"RT @GhioLena: Under the chaos, there are Angels https://t.co/QNKxFaaI5I @BBCScienceNews  @BBC @BBCWorld @BBCEarth @bbcarts @BBCFrontRow @CN…",-0.5719,0.0,0.198,0.802
69,@BBC,Mon Apr 02 23:16:44 +0000 2018,"RT @carolecadwalla: Oh, right. My mistake. That was the second New Yorker story about Cambridge Analytica, AggregateIQ &amp; its links to the B…",-0.34,0.0,0.098,0.902
70,@BBC,Mon Apr 02 23:16:43 +0000 2018,"RT @occupyjusticema: Monday 16th April .6 months on. be there. 
@TheTimesofMalta @IndependentMlt @LovinMalta @maltatoday @BBC @repubblica @…",0.0,0.0,0.0,1.0
71,@BBC,Mon Apr 02 23:16:41 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
72,@BBC,Mon Apr 02 23:16:30 +0000 2018,@BrutalVeracity @DonnaWe51549635 @OhRoyalOne @Eagle50425849 @Icon99558924 @JLadstone @shaistasalam1 @JSinghF… https://t.co/tf6ok8bV8o,0.0,0.0,0.0,1.0
73,@BBC,Mon Apr 02 23:16:30 +0000 2018,RT @GhioLena: Transdisciplinary Art at its best and reason to HOPE: https://t.co/F1zWA8Qruo @BBCScienceNews  @BBC @BBCWorld @BBCEarth @bbca…,0.8331,0.343,0.0,0.657
74,@BBC,Mon Apr 02 23:16:25 +0000 2018,"RT @carolecadwalla: Oh, right. My mistake. That was the second New Yorker story about Cambridge Analytica, AggregateIQ &amp; its links to the B…",-0.34,0.0,0.098,0.902
75,@BBC,Mon Apr 02 23:16:20 +0000 2018,@BBC amazing Dave Allen tonight - memories - used to watch religiously on TV with parents - probs too young to do s… https://t.co/Fx2orZ08iy,0.5859,0.16,0.0,0.84
76,@BBC,Mon Apr 02 23:16:15 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
77,@BBC,Mon Apr 02 23:16:12 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
78,@BBC,Mon Apr 02 23:16:00 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
79,@BBC,Mon Apr 02 23:15:53 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
80,@BBC,Mon Apr 02 23:15:50 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
81,@BBC,Mon Apr 02 23:15:47 +0000 2018,@DonnaWe51549635 @Eagle50425849 @cjsienna55 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth… https://t.co/2csfQG2aB6,0.0,0.0,0.0,1.0
82,@BBC,Mon Apr 02 23:15:44 +0000 2018,"RT @carolecadwalla: Oh, right. My mistake. That was the second New Yorker story about Cambridge Analytica, AggregateIQ &amp; its links to the B…",-0.34,0.0,0.098,0.902
83,@BBC,Mon Apr 02 23:15:33 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
84,@BBC,Mon Apr 02 23:15:32 +0000 2018,"RT @carolecadwalla: Oh, right. My mistake. That was the second New Yorker story about Cambridge Analytica, AggregateIQ &amp; its links to the B…",-0.34,0.0,0.098,0.902
85,@BBC,Mon Apr 02 23:15:27 +0000 2018,UK charging ahead here again!  #GenderEquality @bbc https://t.co/eEt3VjMYE5,0.0,0.0,0.0,1.0
86,@BBC,Mon Apr 02 23:15:27 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
87,@BBC,Mon Apr 02 23:15:21 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
88,@BBC,Mon Apr 02 23:15:20 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
89,@BBC,Mon Apr 02 23:15:20 +0000 2018,@comictog @BBC Tommy is the Irish Messiah...,0.0,0.0,0.0,1.0
90,@BBC,Mon Apr 02 23:15:16 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
91,@BBC,Mon Apr 02 23:14:57 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
92,@BBC,Mon Apr 02 23:14:43 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
93,@BBC,Mon Apr 02 23:14:36 +0000 2018,RT @Icon99558924: @JSinghF @lunermoth @Eagle50425849 @Dausdava @hairlossclinic1 @curtainpullback @AWAKEALERT @AlgerianPalest @MGasmiaRamzi…,0.0,0.0,0.0,1.0
